datetime,open,high,low,close,volume,oi,iv,spot,api_strike,strike,strike_label,option_type,atm,date
2024-12-03 09:15:00+05:30,501.5,523.2,500.0,523.2,900,195675,23.480734,24328.4,23850.0,23850,ATM-10,CALL,24350,2024-12-03
2024-12-03 09:16:00+05:30,569.5,574.0,558.6,560.0,6350,606050,24.699536,24315.3,23800.0,23850,ATM-10,CALL,24350,2024-12-03
2024-12-03 09:17:00+05:30,557.25,561.25,553.1,558.6,3100,606050,24.791009,24313.3,23800.0,23850,ATM-10,CALL,24350,2024-12-03
2024-12-03 09:18:00+05:30,558.6,558.6,551.55,552.8,2100,601325,24.707206,24307.05,23800.0,23850,ATM-10,CALL,24350,2024-12-03
2024-12-03 09:19:00+05:30,550.0,559.25,550.0,556.7,1325,601325,23.839565,24315.4,23800.0,23850,ATM-10,CALL,24350,2024-12-03
2024-12-03 09:20:00+05:30,556.7,558.65,546.4,551.7,3350,601325,24.431919,24307.1,23800.0,23850,ATM-10,CALL,24350,2024-12-03
2024-12-03 09:21:00+05:30,550.0,550.0,537.0,538.65,3925,601525,24.42357,24292.15,23800.0,23850,ATM-10,CALL,24350,2024-12-03
2024-12-03 09:22:00+05:30,538.95,542.85,538.0,540.95,2300,601525,24.46082,24294.65,23800.0,23850,ATM-10,CALL,24350,2024-12-03
2024-12-03 09:23:00+05:30,535.95,543.75,535.95,540.1,2550,601525,23.899988,24296.3,23800.0,23850,ATM-10,CALL,24350,2024-12-03
2024-12-03 09:24:00+05:30,539.35,542.1,532.75,541.8,1300,602075,22.99836,24302.2,23800.0,23850,ATM-10,CALL,24350,2024-12-03
2024-12-03 09:25:00+05:30,541.8,549.0,541.25,543.95,2250,602075,22.253488,24307.65,23800.0,23850,ATM-10,CALL,24350,2024-12-03
2024-12-03 09:26:00+05:30,543.95,548.05,524.45,525.0,9325,602075,21.980738,24287.5,23800.0,23850,ATM-10,CALL,24350,2024-12-03
2024-12-03 09:27:00+05:30,525.0,526.3,520.0,525.7,1425,599900,22.1288,24287.7,23800.0,23850,ATM-10,CALL,24350,2024-12-03
2024-12-03 09:28:00+05:30,525.7,525.7,521.0,521.7,1900,599900,22.105906,24283.3,23800.0,23850,ATM-10,CALL,24350,2024-12-03
2024-12-03 09:29:00+05:30,521.7,540.0,521.2,540.0,4225,599900,23.048437,24300.05,23800.0,23850,ATM-10,CALL,24350,2024-12-03
2024-12-03 09:30:00+05:30,542.35,550.0,539.55,545.95,3125,598975,22.827553,24307.7,23800.0,23850,ATM-10,CALL,24350,2024-12-03
2024-12-03 09:31:00+05:30,542.8,542.95,525.1,525.1,4825,598975,21.707823,24288.8,23800.0,23850,ATM-10,CALL,24350,2024-12-03
2024-12-03 09:32:00+05:30,528.3,528.3,516.0,520.95,5900,598975,22.112551,24282.5,23800.0,23850,ATM-10,CALL,24350,2024-12-03
2024-12-03 09:33:00+05:30,520.95,537.0,520.95,537.0,3200,595800,22.180867,24300.3,23800.0,23850,ATM-10,CALL,24350,2024-12-03
2024-12-03 09:34:00+05:30,540.0,545.75,537.4,545.75,1875,595800,22.913526,24307.2,23800.0,23850,ATM-10,CALL,24350,2024-12-03
2024-12-03 09:35:00+05:30,544.0,545.55,540.0,543.0,3625,595800,22.954622,24303.95,23800.0,23850,ATM-10,CALL,24350,2024-12-03
2024-12-03 09:36:00+05:30,543.0,555.0,539.6,555.0,6200,595150,24.234455,24312.1,23800.0,23850,ATM-10,CALL,24350,2024-12-03
2024-12-03 09:37:00+05:30,555.0,555.0,538.5,542.0,1875,595150,23.206899,24301.8,23800.0,23850,ATM-10,CALL,24350,2024-12-03
2024-12-03 09:38:00+05:30,542.0,542.0,530.0,538.3,2650,595150,22.641084,24300.0,23800.0,23850,ATM-10,CALL,24350,2024-12-03
2024-12-03 09:39:00+05:30,538.3,550.75,538.3,548.1,1675,594425,23.275719,24308.45,23800.0,23850,ATM-10,CALL,24350,2024-12-03
