Date,Starting_Capital,Ending_Capital,CE_PnL,PE_PnL,Total_PnL,Return_Pct,Trades_Count
2023-01-02,100000.0,98690.25,-1118.0,-191.75,-1309.75,-1.30975,5
2023-01-03,98690.25,99866.75,-292.5,1469.0,1176.5,1.192113709307657,4
2023-01-04,99866.75,101394.25,2541.5,-1014.0,1527.5,1.52953810953095,3
2023-01-05,101394.25,104290.0,2359.5,536.25,2895.75,2.8559311795294113,5
2023-01-06,104290.0,105947.5,3864.25,-2206.75,1657.5,1.5893182471953209,4
2023-01-09,105947.5,106633.25,568.75,117.0,685.75,0.6472545364449374,3
2023-01-10,106633.25,107777.25,1930.5,-786.5,1144.0,1.0728360994342758,4
2023-01-11,107777.25,101560.0,-2167.75,-4049.5,-6217.25,-5.768610722578281,6
2023-01-12,101560.0,104062.5,2879.5,-377.0,2502.5,2.464060653800709,4
2023-01-13,104062.5,106617.0,-1898.0,4452.5,2554.5,2.4547747747747746,4
2023-01-16,106617.0,107432.75,2414.75,-1599.0,815.75,0.7651218848776462,4
2023-01-17,107432.75,106672.25,-978.25,217.75,-760.5,-0.7078846999634655,4
2023-01-18,106672.25,108053.5,-984.75,2366.0,1381.25,1.294854097480835,4
2023-01-19,108053.5,111319.75,572.0,2694.25,3266.25,3.0228081459647305,4
2023-01-20,111319.75,113744.25,2564.25,-139.75,2424.5,2.1779603349809893,2
2023-01-23,113744.25,115694.25,1885.0,65.0,1950.0,1.7143723748673008,3
2023-01-24,115694.25,116471.0,2236.0,-1459.25,776.75,0.6713816805934608,4
2023-01-25,116471.0,116003.0,2665.0,-3133.0,-468.0,-0.40181676125387433,4
2023-01-27,116003.0,116861.0,1586.0,-728.0,858.0,0.7396360438954165,5
2023-01-30,116861.0,119734.0,1231.75,1641.25,2873.0,2.458476309461668,4
2023-01-31,119734.0,118252.0,-6431.75,4949.75,-1482.0,-1.237743665124359,4
2023-02-01,118252.0,121336.25,507.0,2577.25,3084.25,2.6082011297906167,4
2023-02-02,121336.25,125168.0,3415.75,416.0,3831.75,3.157959801790479,4
2023-02-03,125168.0,125766.0,-3994.25,4592.25,598.0,0.47775789339128216,4
2023-02-06,125766.0,126760.5,-29.25,1023.75,994.5,0.7907542579075426,2
2023-02-07,126760.5,128743.0,1745.25,237.25,1982.5,1.5639730042087245,3
2023-02-08,128743.0,127124.5,-2756.0,1137.5,-1618.5,-1.2571557288551611,5
2023-02-09,127124.5,129120.0,-526.5,2522.0,1995.5,1.5697210215182753,4
2023-02-10,129120.0,130075.5,-796.25,1751.75,955.5,0.7400092936802974,3
2023-02-13,130075.5,130673.5,-42.25,640.25,598.0,0.4597330012185231,3
2023-02-14,130673.5,132220.5,-510.25,2057.25,1547.0,1.1838666600343604,3
2023-02-15,132220.5,133748.0,-728.0,2255.5,1527.5,1.1552671484376478,3
2023-02-16,133748.0,134310.25,2957.5,-2395.25,562.25,0.4203801178335377,3
2023-02-17,134310.25,134775.0,1582.75,-1118.0,464.75,0.34602720194475106,4
2023-02-20,134775.0,136461.75,2899.0,-1212.25,1686.75,1.2515303283249861,4
2023-02-21,136461.75,136471.5,2951.0,-2941.25,9.75,0.0071448592737525345,4
2023-02-22,136471.5,137830.0,2918.5,-1560.0,1358.5,0.9954459355982751,4
2023-02-23,137830.0,135607.0,1504.75,-3727.75,-2223.0,-1.612856417325691,3
