datetime,open,high,low,close,volume,oi,iv,spot,api_strike,strike,strike_label,option_type,atm,date
2026-02-02 09:15:00+05:30,39.95,43.65,33.45,39.85,1665105,4070885,30.692974,24772.3,24300.0,24350,ATM-9,PUT,24800,2026-02-02
2026-02-02 09:16:00+05:30,47.9,47.9,43.05,44.4,789490,1503580,30.152476,24782.9,24350.0,24350,ATM-9,PUT,24800,2026-02-02
2026-02-02 09:17:00+05:30,43.3,44.4,41.2,43.25,515710,1503580,30.619217,24800.55,24350.0,24350,ATM-9,PUT,24800,2026-02-02
2026-02-02 09:18:00+05:30,42.8,43.75,41.05,42.95,313365,1503580,29.800499,24782.8,24350.0,24350,ATM-9,PUT,24800,2026-02-02
2026-02-02 09:19:00+05:30,42.45,43.0,40.45,41.95,361335,1714960,30.54498,24806.35,24350.0,24350,ATM-9,PUT,24800,2026-02-02
2026-02-02 09:20:00+05:30,40.9,41.95,35.85,38.75,464620,1714960,30.459975,24824.4,24350.0,24350,ATM-9,PUT,24800,2026-02-02
2026-02-02 09:21:00+05:30,45.95,48.4,44.65,44.95,978900,4859140,30.492429,24838.3,24400.0,24350,ATM-9,PUT,24800,2026-02-02
2026-02-02 09:22:00+05:30,43.8,44.95,37.35,39.8,1170390,4960020,29.722779,24850.9,24400.0,24350,ATM-9,PUT,24800,2026-02-02
2026-02-02 09:23:00+05:30,47.35,47.7,40.8,41.65,585065,1886300,29.230887,24879.05,24450.0,24350,ATM-9,PUT,24800,2026-02-02
2026-02-02 09:24:00+05:30,41.55,43.45,41.4,42.65,528385,1886300,29.350675,24875.8,24450.0,24350,ATM-9,PUT,24800,2026-02-02
2026-02-02 09:25:00+05:30,35.65,41.95,35.3,40.7,1249040,5270850,29.523511,24840.05,24400.0,24350,ATM-9,PUT,24800,2026-02-02
2026-02-02 09:26:00+05:30,39.85,40.7,37.35,39.65,521690,5270850,29.557249,24847.2,24400.0,24350,ATM-9,PUT,24800,2026-02-02
2026-02-02 09:27:00+05:30,39.7,45.0,38.55,43.25,971945,5270850,29.893796,24833.2,24400.0,24350,ATM-9,PUT,24800,2026-02-02
2026-02-02 09:28:00+05:30,43.15,46.4,38.35,39.6,1126320,5445505,29.798311,24853.0,24400.0,24350,ATM-9,PUT,24800,2026-02-02
2026-02-02 09:29:00+05:30,39.2,41.9,38.65,39.95,592020,5445505,29.827919,24851.35,24400.0,24350,ATM-9,PUT,24800,2026-02-02
2026-02-02 09:30:00+05:30,46.8,48.7,42.3,42.8,529685,2146430,29.597896,24879.8,24450.0,24350,ATM-9,PUT,24800,2026-02-02
2026-02-02 09:31:00+05:30,42.9,43.7,38.85,40.45,544245,2418585,29.996707,24903.4,24450.0,24350,ATM-9,PUT,24800,2026-02-02
2026-02-02 09:32:00+05:30,40.0,40.45,38.05,38.4,348595,2418585,29.908886,24914.15,24450.0,24350,ATM-9,PUT,24800,2026-02-02
2026-02-02 09:33:00+05:30,38.6,39.75,37.9,38.8,200265,2418585,29.892528,24911.0,24450.0,24350,ATM-9,PUT,24800,2026-02-02
2026-02-02 09:34:00+05:30,38.6,43.55,38.35,42.7,357435,2497950,30.014547,24889.6,24450.0,24350,ATM-9,PUT,24800,2026-02-02
2026-02-02 09:35:00+05:30,36.15,39.35,36.0,39.3,778895,5612620,29.926767,24856.85,24400.0,24350,ATM-9,PUT,24800,2026-02-02
2026-02-02 09:36:00+05:30,47.05,47.4,41.25,42.25,428545,2497950,29.48779,24879.5,24450.0,24350,ATM-9,PUT,24800,2026-02-02
2026-02-02 09:37:00+05:30,41.6,44.45,40.5,42.95,248950,2629315,30.057993,24888.65,24450.0,24350,ATM-9,PUT,24800,2026-02-02
2026-02-02 09:38:00+05:30,42.5,43.45,38.4,39.8,358020,2629315,29.850722,24902.8,24450.0,24350,ATM-9,PUT,24800,2026-02-02
2026-02-02 09:39:00+05:30,39.35,42.65,39.05,42.65,221325,2629315,29.99825,24888.7,24450.0,24350,ATM-9,PUT,24800,2026-02-02
2026-02-02 09:40:00+05:30,36.05,37.9,34.55,37.65,483730,5976295,30.254156,24874.7,24400.0,24350,ATM-9,PUT,24800,2026-02-02
2026-02-02 09:41:00+05:30,44.6,45.2,38.0,39.6,341575,2769845,29.64882,24898.7,24450.0,24350,ATM-9,PUT,24800,2026-02-02
2026-02-02 09:42:00+05:30,39.4,43.1,39.4,42.75,155415,2769845,29.62205,24878.75,24450.0,24350,ATM-9,PUT,24800,2026-02-02
2026-02-02 09:43:00+05:30,42.85,42.85,38.9,41.65,194935,2820545,29.438698,24880.8,24450.0,24350,ATM-9,PUT,24800,2026-02-02
2026-02-02 09:44:00+05:30,35.0,37.95,34.5,37.75,443560,6081595,29.99811,24867.1,24400.0,24350,ATM-9,PUT,24800,2026-02-02
2026-02-02 09:45:00+05:30,45.0,46.5,40.55,41.75,356135,2820545,29.37377,24878.35,24450.0,24350,ATM-9,PUT,24800,2026-02-02
2026-02-02 09:46:00+05:30,42.05,42.3,38.7,39.7,186550,2857920,29.212415,24886.8,24450.0,24350,ATM-9,PUT,24800,2026-02-02
2026-02-02 09:47:00+05:30,39.15,41.1,37.5,39.05,211120,2857920,28.952481,24884.45,24450.0,24350,ATM-9,PUT,24800,2026-02-02
2026-02-02 09:48:00+05:30,38.45,39.05,34.05,34.35,438035,2857920,28.271878,24898.2,24450.0,24350,ATM-9,PUT,24800,2026-02-02
