datetime,open,high,low,close,volume,oi,iv,spot,api_strike,strike,strike_label,option_type,atm,date
2026-04-02 09:15:00+05:30,635.5,635.55,635.5,635.55,130,2925,29.803823,22224.2,21750.0,21950,ATM-9,CALL,22400,2026-04-02
2026-04-02 09:16:00+05:30,589.8,611.65,575.65,611.65,7475,28730,28.667077,22254.65,21800.0,21950,ATM-9,CALL,22400,2026-04-02
2026-04-02 09:17:00+05:30,620.0,639.75,611.65,630.6,1430,28730,29.868895,22265.9,21800.0,21950,ATM-9,CALL,22400,2026-04-02
2026-04-02 09:18:00+05:30,621.35,630.6,616.05,616.5,1950,28730,29.663059,22249.25,21800.0,21950,ATM-9,CALL,22400,2026-04-02
2026-04-02 09:19:00+05:30,611.0,616.5,597.4,600.0,1885,33800,29.552518,22228.0,21800.0,21950,ATM-9,CALL,22400,2026-04-02
2026-04-02 09:20:00+05:30,597.4,603.4,591.1,600.0,2795,33800,29.459019,22229.2,21800.0,21950,ATM-9,CALL,22400,2026-04-02
2026-04-02 09:21:00+05:30,592.85,600.0,591.2,591.2,3510,33800,28.482645,22229.25,21800.0,21950,ATM-9,CALL,22400,2026-04-02
2026-04-02 09:22:00+05:30,597.0,600.7,588.05,597.8,3380,37505,29.252922,22228.8,21800.0,21950,ATM-9,CALL,22400,2026-04-02
2026-04-02 09:23:00+05:30,598.3,612.3,597.8,606.0,6500,37505,29.0096,22243.05,21800.0,21950,ATM-9,CALL,22400,2026-04-02
2026-04-02 09:24:00+05:30,605.5,612.95,605.5,612.95,1365,37505,29.040007,22252.15,21800.0,21950,ATM-9,CALL,22400,2026-04-02
2026-04-02 09:25:00+05:30,610.05,618.5,610.0,612.45,5005,42510,28.494678,22258.0,21800.0,21950,ATM-9,CALL,22400,2026-04-02
2026-04-02 09:26:00+05:30,606.3,612.45,605.7,606.0,1560,42510,29.253251,22240.15,21800.0,21950,ATM-9,CALL,22400,2026-04-02
2026-04-02 09:27:00+05:30,604.75,613.0,604.75,613.0,520,42510,29.135101,22251.15,21800.0,21950,ATM-9,CALL,22400,2026-04-02
2026-04-02 09:28:00+05:30,608.25,613.0,607.3,608.85,715,46605,29.448565,22241.7,21800.0,21950,ATM-9,CALL,22400,2026-04-02
2026-04-02 09:29:00+05:30,601.4,608.85,599.4,601.2,1950,46605,28.367108,22244.45,21800.0,21950,ATM-9,CALL,22400,2026-04-02
2026-04-02 09:30:00+05:30,602.05,619.35,601.2,619.35,2535,46605,29.325048,22257.55,21800.0,21950,ATM-9,CALL,22400,2026-04-02
2026-04-02 09:31:00+05:30,616.15,625.0,612.0,612.0,1820,48360,29.143208,22249.8,21800.0,21950,ATM-9,CALL,22400,2026-04-02
2026-04-02 09:32:00+05:30,616.1,616.1,611.25,612.7,1170,48360,29.21983,22249.85,21800.0,21950,ATM-9,CALL,22400,2026-04-02
2026-04-02 09:33:00+05:30,610.0,612.7,601.0,603.2,2080,48360,28.576358,22244.75,21800.0,21950,ATM-9,CALL,22400,2026-04-02
2026-04-02 09:34:00+05:30,602.8,615.55,602.8,615.55,650,49790,29.084373,22255.4,21800.0,21950,ATM-9,CALL,22400,2026-04-02
2026-04-02 09:35:00+05:30,608.85,615.55,607.0,607.0,2340,49790,28.684437,22248.65,21800.0,21950,ATM-9,CALL,22400,2026-04-02
2026-04-02 09:36:00+05:30,607.55,619.0,604.4,619.0,455,49790,28.12748,22271.3,21800.0,21950,ATM-9,CALL,22400,2026-04-02
2026-04-02 09:37:00+05:30,586.7,600.2,584.45,596.7,1690,12740,28.650825,22284.25,21850.0,21950,ATM-9,CALL,22400,2026-04-02
2026-04-02 09:38:00+05:30,593.5,596.7,590.3,590.3,585,12740,28.282711,22280.05,21850.0,21950,ATM-9,CALL,22400,2026-04-02
2026-04-02 09:39:00+05:30,628.85,628.85,608.5,611.55,3705,49205,28.973146,22251.45,21800.0,21950,ATM-9,CALL,22400,2026-04-02
