datetime,open,high,low,close,volume,oi,iv,spot,api_strike,strike,strike_label,option_type,atm,date
2025-01-10 09:16:00+05:30,562.4,562.4,562.4,562.4,75,2775,0.0,23573.55,23050.0,23050,ATM-10,CALL,23550,2025-01-10
2025-01-10 09:17:00+05:30,565.9,565.9,555.5,555.75,375,2775,0.0,23571.75,23050.0,23050,ATM-10,CALL,23550,2025-01-10
2025-01-10 09:18:00+05:30,512.7,523.0,512.7,523.0,300,63600,10.507114,23576.1,23100.0,23050,ATM-10,CALL,23550,2025-01-10
2025-01-10 09:19:00+05:30,523.0,523.0,523.0,523.0,0,63600,10.507114,23561.05,23050.0,23050,ATM-10,CALL,23550,2025-01-10
2025-01-10 09:20:00+05:30,515.4,541.65,515.4,538.95,1800,63600,11.565716,23588.95,23100.0,23050,ATM-10,CALL,23550,2025-01-10
2025-01-10 09:21:00+05:30,538.95,540.4,531.35,537.4,4575,64350,11.325168,23588.3,23100.0,23050,ATM-10,CALL,23550,2025-01-10
2025-01-10 09:22:00+05:30,538.5,538.5,528.65,529.6,1050,64350,11.823362,23577.75,23100.0,23050,ATM-10,CALL,23550,2025-01-10
2025-01-10 09:23:00+05:30,525.05,531.2,523.3,531.2,1725,64350,10.173716,23585.85,23100.0,23050,ATM-10,CALL,23550,2025-01-10
2025-01-10 09:24:00+05:30,531.2,531.2,531.2,531.2,0,64350,10.173716,23565.65,23050.0,23050,ATM-10,CALL,23550,2025-01-10
2025-01-10 09:25:00+05:30,567.1,574.0,565.0,565.0,300,3300,14.519308,23551.9,23050.0,23050,ATM-10,CALL,23550,2025-01-10
2025-01-10 09:26:00+05:30,560.85,560.85,559.25,559.25,150,3300,13.522927,23551.55,23050.0,23050,ATM-10,CALL,23550,2025-01-10
2025-01-10 09:27:00+05:30,559.25,559.25,546.15,546.15,150,3225,13.820809,23535.25,23050.0,23050,ATM-10,CALL,23550,2025-01-10
2025-01-10 09:28:00+05:30,590.8,593.45,578.0,583.0,8325,286125,14.195955,23524.2,23000.0,23050,ATM-10,CALL,23550,2025-01-10
2025-01-10 09:29:00+05:30,583.0,583.3,575.0,576.15,4050,286125,13.815218,23518.8,23000.0,23050,ATM-10,CALL,23550,2025-01-10
2025-01-10 09:30:00+05:30,576.15,585.0,573.4,582.0,7800,297525,14.587365,23520.8,23000.0,23050,ATM-10,CALL,23550,2025-01-10
2025-01-10 09:31:00+05:30,581.25,582.8,573.5,575.4,2250,297525,15.076072,23510.3,23000.0,23050,ATM-10,CALL,23550,2025-01-10
2025-01-10 09:32:00+05:30,571.7,576.5,565.0,565.0,15525,297525,15.010368,23499.0,23000.0,23050,ATM-10,CALL,23550,2025-01-10
2025-01-10 09:33:00+05:30,629.4,629.4,590.5,590.5,300,975,15.950414,23471.75,22950.0,23050,ATM-10,CALL,23550,2025-01-10
2025-01-10 09:34:00+05:30,590.5,590.5,590.5,590.5,0,975,15.950414,23458.6,22950.0,23050,ATM-10,CALL,23550,2025-01-10
2025-01-10 09:35:00+05:30,590.5,590.5,590.5,590.5,0,975,15.950414,23448.1,22950.0,23050,ATM-10,CALL,23550,2025-01-10
2025-01-10 09:36:00+05:30,590.5,590.5,590.5,590.5,0,975,15.950414,23449.0,22950.0,23050,ATM-10,CALL,23550,2025-01-10
2025-01-10 09:37:00+05:30,590.5,590.5,590.5,590.5,0,975,15.950414,23441.35,22950.0,23050,ATM-10,CALL,23550,2025-01-10
2025-01-10 09:38:00+05:30,590.5,590.5,590.5,590.5,0,975,15.950414,23443.15,22950.0,23050,ATM-10,CALL,23550,2025-01-10
2025-01-10 09:39:00+05:30,590.5,590.5,590.5,590.5,0,975,15.950414,23439.6,22950.0,23050,ATM-10,CALL,23550,2025-01-10
2025-01-10 09:40:00+05:30,590.5,590.5,577.15,577.15,150,900,14.663044,23465.3,22950.0,23050,ATM-10,CALL,23550,2025-01-10
2025-01-10 09:41:00+05:30,577.15,577.15,577.15,577.15,0,900,14.663044,23463.05,22950.0,23050,ATM-10,CALL,23550,2025-01-10
