datetime,open,high,low,close,volume,oi,iv,spot,api_strike,strike,strike_label,option_type,atm,date
2023-09-01 09:16:00+05:30,523.75,541.45,523.75,541.45,1450,53050,14.951683,19296.1,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 09:17:00+05:30,541.45,548.2,541.45,544.3,2400,53400,15.846761,19295.45,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 09:18:00+05:30,544.3,544.3,540.75,540.75,50,53400,15.439491,19293.35,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 09:19:00+05:30,540.75,543.2,539.85,539.85,150,53400,15.110184,19293.75,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 09:20:00+05:30,539.85,539.85,539.85,539.85,0,53400,15.110184,19297.35,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 09:21:00+05:30,540.45,540.45,540.45,540.45,400,52750,14.693567,19296.05,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 09:22:00+05:30,540.45,540.45,540.45,540.45,0,52750,14.693567,19292.9,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 09:23:00+05:30,540.45,540.45,527.0,530.0,1450,52750,12.905807,19290.8,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 09:24:00+05:30,530.0,530.0,527.0,528.35,1400,52750,12.109882,19291.1,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 09:25:00+05:30,528.35,529.75,526.0,527.85,1450,52750,10.35181,19293.7,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 09:26:00+05:30,527.85,527.85,525.0,526.25,11600,52950,9.748806,19292.75,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 09:27:00+05:30,526.25,526.25,518.85,525.0,2950,52950,11.617539,19288.7,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 09:28:00+05:30,525.0,526.25,525.0,525.5,800,52950,11.209527,19290.0,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 09:29:00+05:30,525.5,529.0,525.5,529.0,250,62100,11.383988,19293.3,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 09:30:00+05:30,529.0,536.95,529.0,535.25,350,62100,11.298731,19299.9,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 09:31:00+05:30,535.25,538.6,535.25,538.6,50,62100,11.083062,19303.7,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 09:32:00+05:30,538.6,538.6,538.05,538.05,50,62150,9.288189,19305.1,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 09:33:00+05:30,538.05,538.05,536.35,536.35,200,62150,0.0,19307.15,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 09:34:00+05:30,536.35,538.0,536.05,536.05,250,62150,0.0,19312.2,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 09:35:00+05:30,536.05,542.75,536.05,542.75,350,62100,11.352904,19307.55,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 09:36:00+05:30,542.75,542.75,542.75,542.75,0,62100,11.352904,19311.0,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 09:37:00+05:30,542.75,542.75,540.85,541.75,200,62100,0.0,19311.95,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 09:38:00+05:30,541.75,545.0,541.75,545.0,100,62100,11.244518,19310.05,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 09:39:00+05:30,545.0,545.0,543.9,543.9,250,61800,0.0,19312.4,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 09:40:00+05:30,543.9,543.9,540.7,543.0,250,61800,0.0,19314.0,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 09:41:00+05:30,543.0,543.0,543.0,543.0,50,61650,0.0,19314.85,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 09:42:00+05:30,543.0,545.75,543.0,545.75,50,61650,0.0,19315.3,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 09:43:00+05:30,545.75,545.75,545.75,545.75,0,61650,0.0,19317.3,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 09:44:00+05:30,545.75,545.75,545.75,545.75,0,61650,0.0,19317.6,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 09:45:00+05:30,545.75,550.3,543.85,550.1,2850,61650,0.0,19320.0,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 09:46:00+05:30,550.1,550.1,546.4,549.8,1350,61650,0.0,19323.0,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 09:47:00+05:30,497.95,500.15,497.95,500.15,50,6550,0.0,19328.6,18850.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 09:48:00+05:30,500.15,510.3,500.15,510.3,50,6600,0.0,19330.75,18850.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 09:49:00+05:30,510.3,510.3,507.1,509.55,1800,6600,0.0,19331.35,18850.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 09:50:00+05:30,509.55,510.75,508.65,508.65,450,6250,0.0,19328.75,18850.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 09:51:00+05:30,508.65,508.65,508.65,508.65,0,6250,0.0,19318.1,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 09:52:00+05:30,561.7,561.7,542.7,542.7,100,62250,0.0,19311.6,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 09:53:00+05:30,542.7,542.7,537.6,542.2,100,61150,0.0,19313.45,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 09:54:00+05:30,542.2,543.3,542.2,543.3,100,61150,0.0,19312.0,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 09:55:00+05:30,543.3,543.3,539.9,539.9,100,61150,0.0,19310.7,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 09:56:00+05:30,539.9,539.9,537.0,537.0,150,61200,0.0,19309.8,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 09:57:00+05:30,537.0,541.55,537.0,540.0,3150,61200,0.0,19312.8,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 09:58:00+05:30,540.0,544.65,540.0,541.3,2500,61200,0.0,19313.25,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 09:59:00+05:30,541.3,541.3,539.5,539.5,600,61200,0.0,19309.2,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 10:00:00+05:30,539.5,539.5,533.8,533.8,100,62850,0.0,19309.1,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 10:01:00+05:30,533.8,533.8,533.8,533.8,0,62850,0.0,19308.65,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 10:02:00+05:30,533.8,533.8,533.8,533.8,0,62850,0.0,19305.05,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 10:03:00+05:30,533.8,534.95,532.0,532.0,100,62850,0.0,19303.7,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 10:04:00+05:30,532.0,532.0,526.65,526.65,50,62850,0.0,19296.75,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 10:05:00+05:30,526.65,526.65,521.8,521.8,200,62850,0.0,19292.05,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 10:06:00+05:30,521.8,521.8,521.8,521.8,0,62850,0.0,19294.4,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 10:07:00+05:30,521.8,521.8,521.8,521.8,0,62850,0.0,19294.05,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 10:08:00+05:30,521.8,521.8,518.0,518.0,150,62800,0.0,19290.2,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 10:09:00+05:30,518.0,519.3,518.0,518.0,1050,62800,0.0,19292.7,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 10:10:00+05:30,518.0,523.0,518.0,523.0,100,62800,0.0,19297.6,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 10:11:00+05:30,523.0,523.0,523.0,523.0,0,62800,0.0,19300.6,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 10:12:00+05:30,523.0,530.6,523.0,530.6,50,62150,0.0,19303.45,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 10:13:00+05:30,530.6,530.6,530.6,530.6,0,62150,0.0,19302.45,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 10:14:00+05:30,530.6,530.6,527.0,527.0,200,62150,0.0,19304.5,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 10:15:00+05:30,527.0,528.8,527.0,528.8,200,61950,0.0,19302.6,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 10:16:00+05:30,528.8,528.8,528.8,528.8,0,61950,0.0,19305.05,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 10:17:00+05:30,528.8,528.8,528.8,528.8,0,61950,0.0,19311.65,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 10:18:00+05:30,528.8,543.65,528.8,543.65,100,61950,0.0,19313.75,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 10:19:00+05:30,543.65,543.65,538.3,538.3,50,61950,0.0,19314.75,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 10:20:00+05:30,538.3,538.3,538.3,538.3,0,61950,0.0,19314.55,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 10:21:00+05:30,538.3,538.3,538.3,538.3,0,61950,0.0,19319.55,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 10:22:00+05:30,538.3,539.7,538.3,539.7,50,61900,0.0,19316.55,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 10:23:00+05:30,539.7,541.8,539.5,541.8,400,61800,0.0,19320.05,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 10:24:00+05:30,541.8,541.8,541.8,541.8,0,61800,0.0,19316.9,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 10:25:00+05:30,541.8,541.8,541.8,541.8,50,61800,0.0,19322.4,18800.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 10:26:00+05:30,541.8,541.8,541.8,541.8,0,61800,0.0,19326.6,18850.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 10:27:00+05:30,492.55,499.2,492.55,499.2,50,7300,0.0,19327.5,18850.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 10:28:00+05:30,499.2,499.2,499.2,499.2,0,7300,0.0,19327.85,18850.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 10:29:00+05:30,499.2,499.2,499.2,499.2,0,7300,0.0,19334.9,18850.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 10:30:00+05:30,499.2,514.0,499.2,510.65,250,7300,0.0,19335.25,18850.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 10:31:00+05:30,510.65,510.65,510.65,510.65,0,7300,0.0,19338.1,18850.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 10:32:00+05:30,510.65,510.65,510.65,510.65,0,7300,0.0,19334.2,18850.0,18750,ATM-10,CALL,19250,2023-09-01
2023-09-01 10:33:00+05:30,510.65,510.65,510.65,510.65,0,7300,0.0,19331.4,18850.0,18750,ATM-10,CALL,19250,2023-09-01
