Date,Starting_Capital,Ending_Capital,CE_PnL,PE_PnL,Total_PnL,Return_Pct,Trades_Count,Sold_Leg,Slope_CE,Slope_PE,Strike
2023-01-02,100000.0,102330.25,0.0,2330.25,2330.25,2.33025,1,PE,3.3,-7.05,18150
2023-01-03,102330.25,104637.75,0.0,2307.5,2307.5,2.254953935908492,1,PE,2.7,-15.2,18200
2023-01-04,104637.75,108056.75,3419.0,0.0,3419.0,3.2674632243143606,1,CE,-33.85,18.6,18150
2023-01-05,108056.75,107237.75,-819.0,0.0,-819.0,-0.7579350665275423,1,CE,-15.65,10.65,18050
2023-01-06,107237.75,106002.75,0.0,-1235.0,-1235.0,-1.151646691580157,1,PE,-5.95,-6.9,18000
2023-01-09,106002.75,108833.5,0.0,2830.75,2830.75,2.67044958739278,1,PE,28.4,-47.7,18050
2023-01-10,108833.5,111833.25,2999.75,0.0,2999.75,2.7562744926883727,1,CE,-29.0,19.05,18000
2023-01-11,111833.25,110442.25,-1391.0,0.0,-1391.0,-1.2438161280299016,1,CE,-8.2,13.6,17850
2023-01-12,110442.25,113754.0,3311.75,0.0,3311.75,2.9986259787354927,1,CE,-12.85,-4.15,17900
2023-01-13,113754.0,112038.0,-1716.0,0.0,-1716.0,-1.5085183817711905,1,CE,-38.85,10.1,17800
2023-01-16,112038.0,114748.5,2710.5,0.0,2710.5,2.419268462485942,1,CE,-44.35,28.2,17950
2023-01-17,114748.5,117608.5,0.0,2860.0,2860.0,2.4924073081565337,1,PE,30.35,-42.95,17950
2023-01-18,117608.5,120328.75,0.0,2720.25,2720.25,2.312970576106319,1,PE,15.85,-26.95,18100
2023-01-19,120328.75,119539.0,-789.75,0.0,-789.75,-0.656326937660368,1,CE,-13.5,3.65,18100
2023-01-20,119539.0,117738.5,-1800.5,0.0,-1800.5,-1.5062029965115986,1,CE,-19.55,3.6,18050
2023-01-23,117738.5,116721.25,0.0,-1017.25,-1017.25,-0.8639909630239896,1,PE,8.5,-30.25,18150
2023-01-24,116721.25,115580.5,0.0,-1140.75,-1140.75,-0.9773284641828287,1,PE,5.5,-15.7,18200
2023-01-25,115580.5,118976.75,3396.25,0.0,3396.25,2.938428195067507,1,CE,-43.1,15.6,18000
2023-01-27,118976.75,124690.25,5713.5,0.0,5713.5,4.802198748915229,1,CE,-26.05,30.55,17750
2023-01-30,124690.25,122607.0,0.0,-2083.25,-2083.25,-1.670740093952815,1,PE,76.4,-95.45,17600
2023-01-31,122607.0,120462.0,-2145.0,0.0,-2145.0,-1.749492280212386,1,CE,-64.7,44.9,17600
2023-02-01,120462.0,118180.5,-2281.5,0.0,-2281.5,-1.8939582606963192,1,CE,-16.85,-4.75,17750
2023-02-02,118180.5,116945.5,0.0,-1235.0,-1235.0,-1.045011655899239,1,PE,31.45,-59.5,17600
2023-02-03,116945.5,114612.0,-2333.5,0.0,-2333.5,-1.995373913489617,1,CE,-37.45,8.2,17650
2023-02-06,114612.0,116061.5,1449.5,0.0,1449.5,1.2647017764282973,1,CE,-14.15,1.6,17800
2023-02-07,116061.5,114566.5,-1495.0,0.0,-1495.0,-1.2881101829633428,1,CE,-20.8,12.4,17750
2023-02-08,114566.5,113516.75,0.0,-1049.75,-1049.75,-0.916280064416736,1,PE,24.1,-54.0,17850
2023-02-09,113516.75,112727.0,-789.75,0.0,-789.75,-0.6957123067741104,1,CE,-36.3,14.9,17800
2023-02-10,112727.0,111202.75,-1524.25,0.0,-1524.25,-1.3521605294206356,1,CE,-21.85,7.4,17800
2023-02-13,111202.75,112710.75,1508.0,0.0,1508.0,1.356081571723721,1,CE,-25.85,13.3,17800
2023-02-14,112710.75,111563.5,-1147.25,0.0,-1147.25,-1.0178709661678234,1,CE,-6.25,1.55,17800
2023-02-15,111563.5,110604.75,-958.75,0.0,-958.75,-0.8593760504107526,1,CE,-19.15,0.35,17850
2023-02-16,110604.75,110182.25,0.0,-422.5,-422.5,-0.38199082769953374,1,PE,17.6,-20.95,18100
2023-02-17,110182.25,108999.25,0.0,-1183.0,-1183.0,-1.0736756600995168,1,PE,26.35,-36.05,18000
2023-02-20,108999.25,107972.25,0.0,-1027.0,-1027.0,-0.9422083179471418,1,PE,5.4,-12.9,17950
2023-02-21,107972.25,106665.75,-1306.5,0.0,-1306.5,-1.2100331335134722,1,CE,-9.55,1.8,17850
2023-02-22,106665.75,110263.5,3597.75,0.0,3597.75,3.3729196110279074,1,CE,-28.85,14.9,17700
2023-02-23,110263.5,109288.5,-975.0,0.0,-975.0,-0.8842454665415118,1,CE,-66.4,20.95,17450
2023-02-24,109288.5,111878.75,2590.25,0.0,2590.25,2.3701029843030144,1,CE,-27.15,12.7,17550
2023-02-27,111878.75,112480.0,601.25,0.0,601.25,0.5374121537825548,1,CE,-6.7,-5.0,17400
2023-02-28,112480.0,111586.25,0.0,-893.75,-893.75,-0.7945857041251778,1,PE,4.05,-12.6,17400
2023-03-01,111586.25,113438.75,0.0,1852.5,1852.5,1.6601507802260582,1,PE,18.1,-29.6,17400
2023-03-02,113438.75,115502.5,2063.75,0.0,2063.75,1.8192636995735585,1,CE,-34.8,18.85,17400
2023-03-03,115502.5,118102.5,0.0,2600.0,2600.0,2.2510335274128264,1,PE,17.3,-24.4,17450
2023-03-06,118102.5,117247.75,0.0,-854.75,-854.75,-0.7237357380241739,1,PE,28.55,-31.6,17750
2023-03-08,117247.75,119727.5,0.0,2479.75,2479.75,2.114965958835031,1,PE,19.85,-31.4,17650
2023-03-09,119727.5,121199.75,1472.25,0.0,1472.25,1.2296673696519178,1,CE,-18.7,7.6,17750
2023-03-10,121199.75,119743.75,-1456.0,0.0,-1456.0,-1.2013226099888819,1,CE,-46.15,19.7,17350
2023-03-13,119743.75,118434.0,0.0,-1309.75,-1309.75,-1.0937940393548724,1,PE,-2.9,-7.6,17450
2023-03-14,118434.0,117065.75,0.0,-1368.25,-1368.25,-1.1552847999729807,1,PE,-1.05,-14.15,17150
2023-03-15,117065.75,120991.75,3926.0,0.0,3926.0,3.3536709071611464,1,CE,-37.5,19.05,17150
2023-03-16,120991.75,120010.25,-981.5,0.0,-981.5,-0.8112123347253015,1,CE,-63.25,23.3,16850
2023-03-17,120010.25,117904.25,-2106.0,0.0,-2106.0,-1.7548501065533986,1,CE,-40.6,16.0,17050
2023-03-20,117904.25,116789.5,-1114.75,0.0,-1114.75,-0.9454705831214735,1,CE,-26.1,23.55,16950
2023-03-21,116789.5,115353.0,-1436.5,0.0,-1436.5,-1.229990709781273,1,CE,-7.85,6.75,17050
2023-03-22,115353.0,115648.75,295.75,0.0,295.75,0.2563869166818375,1,CE,-7.35,5.0,17150
2023-03-23,115648.75,116532.75,0.0,884.0,884.0,0.7643835320312584,1,PE,-4.8,-21.75,17100
2023-03-24,116532.75,114933.75,-1599.0,0.0,-1599.0,-1.372146456682778,1,CE,-34.4,25.45,17050
2023-03-27,114933.75,115934.75,0.0,1001.0,1001.0,0.8709365177765451,1,PE,6.45,-15.25,17000
2023-03-28,115934.75,119097.0,3162.25,0.0,3162.25,2.7276118678825805,1,CE,-14.15,8.6,17000
2023-03-29,119097.0,118469.75,0.0,-627.25,-627.25,-0.526671536646599,1,PE,1.55,-10.8,17000
2023-03-31,118469.75,120306.0,0.0,1836.25,1836.25,1.5499737274705148,1,PE,35.15,-32.45,17250
2023-04-03,120306.0,120289.75,-16.25,0.0,-16.25,-0.013507223247385833,1,CE,-7.15,-3.85,17350
